,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,轮廓,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,word_x,word_y,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后,icon_x,icon_y
2137,data/cut/R000183BF_C00034AE6_10.png,321.5,409.5,322,410,停车场,150900,R000183BF,C00034AE6,P,,66.5,154.5,R000183BF,C00034AE6,C00034AE6_66.5,R000183BF_154.5,67,155,R000183BF,C00034AE6,C00034AE6_67,R000183BF_155
2138,data/cut/R000183BF_C00034ADD_11.png,485.5,255.5,,,,,R000183BF,C00034ADD,北京大学附属中学,,230.5,0.5,R000183BF,C00034ADD,C00034ADD_230.5,R000183BF_0.5,,,,,,
2139,data/cut/R000183BF_C00034ADD_31.png,453,477,454,469,通行设施,990000,R000183BF,C00034ADD,南门,,198,222,R000183BF,C00034ADD,C00034ADD_198,R000183BF_222,199,214,R000183BF,C00034ADD,C00034ADD_199,R000183BF_214
2140,data/cut/R000183BA_C00034AE2_7.png,415.5,305,,,,,R000183BA,C00034AE2,鼎丰成号陈氏米粉,"[('C00034AE2_8', 'R000183B9_221'), ('C00034AE2_172', 'R000183B9_221'), ('C00034AE2_172', 'R000183BA_106'), ('C00034AE2_8', 'R000183BA_106')]",160.5,50,R000183BA,C00034AE2,C00034AE2_160.5,R000183BA_50,,,,,,
2141,data/cut/R000183BA_C00034AE2_17.png,507.5,402,,,,,R000183BA,C00034AE2,中关村南三街,,252.5,147,R000183BA,C00034AE2,C00034AE2_252.5,R000183BA_147,,,,,,
2142,data/cut/R000183BA_C00034AE2_19.png,260.5,259.5,,,,,R000183BA,C00034AE2,融科资讯中心,,5.5,4.5,R000183BA,C00034AE2,C00034AE2_5.5,R000183BA_4.5,,,,,,
2143,data/cut/R000183BA_C00034AE2_23.png,299.5,317,,,,,R000183BA,C00034AE2,融科天地中心o,"[('C00034AE2_8', 'R000183B9_221'), ('C00034AE2_172', 'R000183B9_221'), ('C00034AE2_172', 'R000183BA_106'), ('C00034AE2_8', 'R000183BA_106')]",44.5,62,R000183BA,C00034AE2,C00034AE2_44.5,R000183BA_62,,,,,,
2144,data/cut/R000183BA_C00034AE2_26.png,382.5,359.5,383,351,餐饮服务,50000,R000183BA,C00034AE2,麻里麻里,"[('C00034AE2_8', 'R000183B9_221'), ('C00034AE2_172', 'R000183B9_221'), ('C00034AE2_172', 'R000183BA_106'), ('C00034AE2_8', 'R000183BA_106')]",127.5,104.5,R000183BA,C00034AE2,C00034AE2_127.5,R000183BA_104.5,128,96,R000183BA,C00034AE2,C00034AE2_128,R000183BA_96
2145,data/cut/R000183BA_C00034AE2_28.png,347.5,266.5,346,257,楼宇,120200,R000183BA,C00034AE2,C座北楼,"[('C00034AE2_8', 'R000183B9_221'), ('C00034AE2_172', 'R000183B9_221'), ('C00034AE2_172', 'R000183BA_106'), ('C00034AE2_8', 'R000183BA_106')]",92.5,11.5,R000183BA,C00034AE2,C00034AE2_92.5,R000183BA_11.5,91,2,R000183BA,C00034AE2,C00034AE2_91,R000183BA_2
2146,data/cut/R000183BA_C00034AE2_29.png,376.5,443.5,375,434,楼宇,120200,R000183BA,C00034AE2,C座南楼,"[('C00034AE2_14', 'R000183BA_117'), ('C00034AE2_179', 'R000183BA_117'), ('C00034AE2_179', 'R000183BA_219'), ('C00034AE2_14', 'R000183BA_219')]",121.5,188.5,R000183BA,C00034AE2,C00034AE2_121.5,R000183BA_188.5,120,179,R000183BA,C00034AE2,C00034AE2_120,R000183BA_179
2147,data/cut/R000183BA_C00034AE2_40.png,421,258.5,,,,,R000183BA,C00034AE2,C座,"[('C00034AE2_8', 'R000183B9_221'), ('C00034AE2_172', 'R000183B9_221'), ('C00034AE2_172', 'R000183BA_106'), ('C00034AE2_8', 'R000183BA_106')]",166,3.5,R000183BA,C00034AE2,C00034AE2_166,R000183BA_3.5,,,,,,
2148,,,,386,307,餐饮服务,50000,R000183BA,C00034AE2,,,,,,,,,131,52,R000183BA,C00034AE2,C00034AE2_131,R000183BA_52
2149,data/cut/R000183C7_C00034ACD_4.png,363.5,499.5,,,,,R000183C7,C00034ACD,丁和李朴美发沙龙A,"[('C00034ACC_248', 'R000183C7_236'), ('C00034ACD_140', 'R000183C7_236'), ('C00034ACD_140', 'R000183C8_67'), ('C00034ACC_248', 'R000183C8_67')]",108.5,244.5,R000183C7,C00034ACD,C00034ACD_108.5,R000183C7_244.5,,,,,,
2150,data/cut/R000183C7_C00034ACD_19.png,387,458,388,448,楼宇,120200,R000183C7,C00034ACD,迪佳广场,,132,203,R000183C7,C00034ACD,C00034ACD_132,R000183C7_203,133,193,R000183C7,C00034ACD,C00034ACD_133,R000183C7_193
2151,data/cut/R000183C7_C00034ACD_38.png,475,458.5,,,,,R000183C7,C00034ACD,4号楼,"[('C00034ACD_189', 'R000183C7_182'), ('C00034ACE_12', 'R000183C7_182'), ('C00034ACE_12', 'R000183C7_221'), ('C00034ACD_189', 'R000183C7_221')]",220,203.5,R000183C7,C00034ACD,C00034ACD_220,R000183C7_203.5,,,,,,
2152,data/cut/R000183C7_C00034ACD_50.png,471.5,502.5,472,503,停车场,150900,R000183C7,C00034ACD,P,"[('C00034ACD_185', 'R000183C7_244'), ('C00034ACE_33', 'R000183C7_244'), ('C00034ACE_33', 'R000183C8_38'), ('C00034ACD_185', 'R000183C8_38')]",216.5,247.5,R000183C7,C00034ACD,C00034ACD_216.5,R000183C7_247.5,217,248,R000183C7,C00034ACD,C00034ACD_217,R000183C7_248
